time,epoch,batch,loss,cost
0min21sec,1,280,-3.201,9.243,1.406
0min21sec,1,290,-3.194,9.242,1.406
0min21sec,1,300,-3.186,9.241,1.406
0min21sec,1,310,-3.197,9.242,1.405
0min22sec,1,320,-3.255,9.246,1.402
0min21sec,1,330,-3.238,9.245,1.400
0min21sec,1,340,-3.218,9.243,1.401
0min21sec,1,350,-3.209,9.242,1.398
0min21sec,1,360,-3.210,9.242,1.397
0min21sec,1,370,-3.208,9.243,1.399
0min21sec,1,380,-3.209,9.242,1.400
0min21sec,1,390,-3.181,9.240,1.401
0min21sec,1,400,-3.163,9.239,1.400
0min21sec,1,410,-3.149,9.238,1.401
0min21sec,1,420,-3.147,9.237,1.403
0min21sec,1,430,-3.149,9.237,1.404
0min21sec,1,440,-3.138,9.236,1.406
0min21sec,1,450,-3.139,9.237,1.411
0min21sec,1,460,-3.128,9.237,1.413
0min21sec,1,470,-3.133,9.237,1.410
0min21sec,1,480,-3.131,9.237,1.408
0min21sec,1,490,-3.114,9.236,1.406
0min21sec,1,500,-3.111,9.236,1.407
0min21sec,1,510,-3.104,9.235,1.407
0min21sec,1,520,-3.080,9.233,1.404
0min21sec,1,530,-3.072,9.232,1.402
0min22sec,1,540,-3.065,9.232,1.400
0min21sec,1,550,-3.052,9.230,1.399
0min21sec,1,560,-3.048,9.229,1.402
0min21sec,1,570,-3.047,9.229,1.405
0min21sec,1,580,-3.055,9.230,1.409
0min21sec,1,590,-3.045,9.229,1.409
0min21sec,1,600,-3.060,9.230,1.408
0min21sec,1,610,-3.059,9.231,1.408
0min21sec,1,620,-3.067,9.232,1.407
0min21sec,1,630,-3.066,9.232,1.405
0min21sec,1,640,-3.062,9.231,1.404
0min21sec,1,650,-3.073,9.232,1.405
0min21sec,1,660,-3.071,9.232,1.407
0min21sec,1,670,-3.064,9.232,1.407
0min21sec,1,680,-3.051,9.230,1.407
0min21sec,1,690,-3.048,9.229,1.406
0min21sec,1,700,-3.050,9.229,1.405
0min21sec,1,710,-3.043,9.228,1.405
0min21sec,1,720,-3.038,9.228,1.405
0min21sec,1,730,-3.036,9.228,1.406
0min21sec,1,740,-3.022,9.227,1.406
0min21sec,1,750,-3.020,9.226,1.408
0min21sec,1,760,-3.020,9.226,1.408
0min21sec,1,770,-3.008,9.225,1.408
0min21sec,1,780,-2.996,9.224,1.409
0min21sec,1,790,-2.981,9.222,1.409
0min21sec,1,800,-2.970,9.221,1.408
0min21sec,1,810,-2.967,9.221,1.408
0min21sec,1,820,-2.960,9.220,1.408
0min21sec,1,830,-2.951,9.219,1.408
0min21sec,1,840,-2.944,9.218,1.408
0min21sec,1,850,-2.933,9.217,1.407
0min21sec,1,860,-2.914,9.215,1.406
0min21sec,1,870,-2.902,9.214,1.406
